local_item_id,category_id,item_key,brand,image_url,external_link,external_service,is_active,created_at,updated_at
759,1,movie_tmdb_390433,,https://image.tmdb.org/t/p/w500/9pfo2HYE2TtoJqnfSNJrelp74uT.jpg,https://www.themoviedb.org/movie/390433,TMDB,t,2026-02-23 07:02:30.029218,2026-02-23 07:02:30.029218
760,1,movie_tmdb_419116,,https://image.tmdb.org/t/p/w500/hktmN8qVDyzp3I9f7veWfF6l45c.jpg,https://www.themoviedb.org/movie/419116,TMDB,t,2026-02-23 07:02:30.031379,2026-02-23 07:02:30.031379
761,1,movie_tmdb_1255,,https://image.tmdb.org/t/p/w500/tqDQzYGi1EWHgUZY91YRSJLDJVf.jpg,https://www.themoviedb.org/movie/1255,TMDB,t,2026-02-23 07:02:30.033457,2026-02-23 07:02:30.033457
762,1,movie_tmdb_395000,,https://image.tmdb.org/t/p/w500/UsQC34yh6U7oAUdRn2nMDNXbwf.jpg,https://www.themoviedb.org/movie/395000,TMDB,t,2026-02-23 07:02:30.036505,2026-02-23 07:02:30.036505
763,1,movie_tmdb_218746,,https://image.tmdb.org/t/p/w500/x73C5Hi8FuxCWdmY67evoV9V7xi.jpg,https://www.themoviedb.org/movie/218746,TMDB,t,2026-02-23 07:02:30.038635,2026-02-23 07:02:30.038635
764,1,movie_tmdb_741689,,https://image.tmdb.org/t/p/w500/vdUCeKeUp8ERCNbwSUzKx4UZR7x.jpg,https://www.themoviedb.org/movie/741689,TMDB,t,2026-02-23 07:02:30.041393,2026-02-23 07:02:30.041393
765,1,movie_tmdb_2440,,https://image.tmdb.org/t/p/w500/6pZw6KFwrADsS4HYfJe8AHMwpQh.jpg,https://www.themoviedb.org/movie/2440,TMDB,t,2026-02-23 07:02:30.043827,2026-02-23 07:02:30.043827
766,1,movie_tmdb_1174128,,https://image.tmdb.org/t/p/w500/mkQE7ZOhBMoVhDFbwLiJ43T5GzX.jpg,https://www.themoviedb.org/movie/1174128,TMDB,t,2026-02-23 07:02:30.047247,2026-02-23 07:02:30.047247
767,1,movie_tmdb_171587,,https://image.tmdb.org/t/p/w500/iroszHPRH5Usrd4t2gypPo6NRGp.jpg,https://www.themoviedb.org/movie/171587,TMDB,t,2026-02-23 07:02:30.049642,2026-02-23 07:02:30.049642
768,1,movie_tmdb_17903,,https://image.tmdb.org/t/p/w500/vu9PrY7MEmDInys0w92cYCDI8XJ.jpg,https://www.themoviedb.org/movie/17903,TMDB,t,2026-02-23 07:02:30.053081,2026-02-23 07:02:30.053081
769,1,movie_tmdb_293670,,https://image.tmdb.org/t/p/w500/k9AKtgRErXjz14lFHL2IJVCgwOT.jpg,https://www.themoviedb.org/movie/293670,TMDB,t,2026-02-23 07:02:30.055583,2026-02-23 07:02:30.055583
770,1,movie_tmdb_16318,,https://image.tmdb.org/t/p/w500/eRCd4nqD3i4tAzIVeyd1zTNiRPD.jpg,https://www.themoviedb.org/movie/16318,TMDB,t,2026-02-23 07:02:30.058722,2026-02-23 07:02:30.058722
771,1,movie_tmdb_491584,,https://image.tmdb.org/t/p/w500/AlKlezuaJkP2lDEWbJxYv47GeDf.jpg,https://www.themoviedb.org/movie/491584,TMDB,t,2026-02-23 07:02:30.062167,2026-02-23 07:02:30.062167
772,1,movie_tmdb_873797,,https://image.tmdb.org/t/p/w500/wjh29GaJPKF1J0nLdpXuExncQ8U.jpg,https://www.themoviedb.org/movie/873797,TMDB,t,2026-02-23 07:02:30.064991,2026-02-23 07:02:30.064991
773,1,movie_tmdb_390845,,https://image.tmdb.org/t/p/w500/kw7QEMiIFW7EjZQSRO9ebKls21k.jpg,https://www.themoviedb.org/movie/390845,TMDB,t,2026-02-23 07:02:30.067641,2026-02-23 07:02:30.067641
774,1,movie_tmdb_549590,,https://image.tmdb.org/t/p/w500/fL5OHCA7jXhvq4MOJAdVpJJzBF4.jpg,https://www.themoviedb.org/movie/549590,TMDB,t,2026-02-23 07:02:30.071208,2026-02-23 07:02:30.071208
775,1,movie_tmdb_799379,,https://image.tmdb.org/t/p/w500/op2y1gvqKhAh4yAPLwc4PlX3XRv.jpg,https://www.themoviedb.org/movie/799379,TMDB,t,2026-02-23 07:02:30.073602,2026-02-23 07:02:30.073602
776,1,movie_tmdb_437068,,https://image.tmdb.org/t/p/w500/pCdx7X5JLaSJZLNVtpryGSdjvvB.jpg,https://www.themoviedb.org/movie/437068,TMDB,t,2026-02-23 07:02:30.076131,2026-02-23 07:02:30.076131
784,1,movie_tmdb_34530,,https://image.tmdb.org/t/p/w500/j6UHXXfCU6QSQB9cZ9faEoou5Ad.jpg,https://www.themoviedb.org/movie/34530,TMDB,t,2026-02-23 07:02:30.107882,2026-02-23 07:02:30.107882
792,1,movie_tmdb_1087771,,https://image.tmdb.org/t/p/w500/brpncE7IUmXFhZ6kELmyChvHKel.jpg,https://www.themoviedb.org/movie/1087771,TMDB,t,2026-02-23 07:02:30.12881,2026-02-23 07:02:30.12881
793,1,movie_tmdb_284,,https://image.tmdb.org/t/p/w500/TIwJe8jQ4uhExbxesjxQzNxqY3.jpg,https://www.themoviedb.org/movie/284,TMDB,t,2026-02-23 07:02:30.13139,2026-02-23 07:02:30.13139
794,1,movie_tmdb_522924,,https://image.tmdb.org/t/p/w500/rFKqqy4YIXq1hasaCEqk5p4Lywh.jpg,https://www.themoviedb.org/movie/522924,TMDB,t,2026-02-23 07:02:30.134865,2026-02-23 07:02:30.134865
795,1,movie_tmdb_499028,,https://image.tmdb.org/t/p/w500/t37dPqCCV7IgKaGm5nqmmHmLJ1L.jpg,https://www.themoviedb.org/movie/499028,TMDB,t,2026-02-23 07:02:30.138175,2026-02-23 07:02:30.138175
796,1,movie_tmdb_426,,https://image.tmdb.org/t/p/w500/fqePCJXuCAAmUnG935fLFgk9H6L.jpg,https://www.themoviedb.org/movie/426,TMDB,t,2026-02-23 07:02:30.140969,2026-02-23 07:02:30.140969
